id,en,ru,tat,es,kor
ui.science,Science,Наука,Фән,Ciencia,과학
ui.cost,Cost,Цена,Бәя,Costo,비용
ui.satellite,Satellite,Спутник,Иярчен,Satélite,위성
ui.debris,Debris,Обломки,Калдыклар,Escombros,개의 잔해 떠 있음
ui.orbit_analysis,Orbit Analysis,Анализ Орбиты,Орбита Анализы,Análisis de Órbita,궤도 분석
ui.lifetime,Lifetime,Время жизни,Хезмәт итү вакыты,Vida Útil,수명
ui.dysfunctional,Dysfunctional,Вышел из строя,Эшләми торган,Disfuncional,수명이 다함
ui.active_satellites,Active Satellites,Активные Спутники,Актив Иярченнәр,Satélites Activos,개의 위성이 작동 중
ui.dysfunctional_satellites,Dysfunctional Satellites,Неисправные Спутники,Эшләми торган Иярченнәр,Satélites Disfuncionales,개의 위성 수명이 다함
ui.deorbit,Deorbit,Свести из орбиты,Орбитадан чыгару,Desorbitar,궤도에서 이탈시키기
ui.collision_risk,Collision Risk,Риск Столкновений,Бәрелешү куркынычы,Riesgo de Colisión,충돌 위험 수준
ui.collision_risk.safe,Safe,Безопасно,Куркынычсыз,Seguro,안전함
ui.collision_risk.caution,Caution,Осторожно,Игътибар,Precaución,주위
ui.collision_risk.moderate,Moderate,Умеренный,Уртача,Moderado,중간
ui.collision_risk.severe,Severe,Высокий,Югары,Severo,심각함
satellite.basic.name,Basic Satellite,Базовый Спутник,Гади Иярчен,Satélite Básico,일반적인 위성
satellite.basic.desc,Generates Science over time,Создаёт Науку со временем,Вакыт узу белән Фән җитештерә,Genera Ciencia con el tiempo,시간이 지나면서 과학을 창출한다
satellite.comms.name,Communications Satellite,Спутник Связи,Элемтә Иярчене,Satélite de Comunicaciones,통신 위성
satellite.comms.desc,"When there are 3 Communication Satellites in orbit, Science gain is increased","Когда на орбите находится 3 Спутника Связи, Наука развивается быстрее","Орбитада 3 Элемтә Иярчене булганда, Фән җитештерү арта","Cuando hay 3 Satélites de Comunicaciones en órbita, la ganancia de Ciencia aumenta",통신 위성 3개 이상이 작동 중이면 과학이 더 빨리 발전된다
satellite.debris.name,Debris Cleaner Satellite,Спутник-Уборщик Обломков,Калдыкларны җыештыручы Иярчен,Satélite Limpiador de Escombros,잔해 제거 위성
satellite.debris.desc,Removes nearby debris,Убирает обломки поблизости,Якындагы калдыкларны җыя,Elimina los escombros cercanos,가까이에 있는 잔해를 제거한다
research.scientific.name,Scientific Research,Научное Исследование,Фәнни Тикшеренү,Investigación Científica,과학적 연구
research.scientific.desc,Progress must be made,Прогрессу быть,Алгарыш булырга тиеш,Se debe progresar,기술을 발전시키시오
research.theoretical.name,Theoretical Research,Теоретическое Исследование,Теоретик Тикшеренү,Investigación Teórica,이론적 연구
research.theoretical.desc,Advance progress by constructing new theories,Продвинь прогресс за счёт построения новых теорий,"Яңа теорияләр төзеп, алга кит",Avanza el progreso mediante la construcción de nuevas teorías,새로운 이론을 만들어서 진보를 이끄시오
research.orbit_program.name,Orbit Program,Орбитальная программа,Орбита программасы,Programa de Órbita,궤도 연구 임무
research.orbit_program.desc,Unlocks satellites,Разблокирует спутники,Иярченнәрне ача,Desbloquea Satélites,위성을 제공한다
